"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
"0.67","77.81982","0.1020625","0.67","23.69881","0.1020937","0.67","88.97781","0.1020417","0.67","37.33635","0.1020625","0.67","44.67964","0.1020937","0.67","0.8106232","0.1020729","0.67","1.573563","0.1020833","0.67","1.001358","0.1020312"
"0.68","78.4874","0.1037396","0.68","21.83914","0.1037604","0.68","89.21623","0.1037188","0.68","37.05025","0.1037083","0.68","43.24913","0.1037396","0.68","0.9536743","0.1037604","0.68","1.573563","0.1037396","0.68","1.096725","0.1037188"
"0.69","79.77486","0.1054062","0.69","23.46039","0.1054167","0.69","90.31296","0.1053958","0.69","40.24506","0.105375","0.69","43.67828","0.1053854","0.69","0.9536743","0.1054271","0.69","1.716614","0.1053854","0.69","1.096725","0.1054167"
"0.7","81.06232","0.1070521","0.7","24.27101","0.1070521","0.7","90.16991","0.1070625","0.7","41.67557","0.1070625","0.7","45.34721","0.1070417","0.7","0.9536743","0.1070833","0.7","1.716614","0.1070417","0.7","1.144409","0.1070938"
"0.71","79.82254","0.1087083","0.71","23.79417","0.1086979","0.71","95.65353","0.1087187","0.71","39.67285","0.10875","0.71","46.68236","0.1087292","0.71","1.049042","0.1087187","0.71","1.716614","0.1087083","0.71","1.192093","0.1087604"
"0.72","86.11679","0.110375","0.72","24.79553","0.110375","0.72","96.13037","0.1103646","0.72","39.5298","0.1104271","0.72","49.73412","0.1104167","0.72","1.049042","0.1103854","0.72","1.716614","0.1104167","0.72","1.239777","0.1104062"
"0.73","87.5473","0.1120729","0.73","27.65656","0.1120625","0.73","98.80066","0.1120313","0.73","41.24641","0.1120833","0.73","49.35265","0.1120729","0.73","1.049042","0.1120625","0.73","1.716614","0.1120937","0.73","1.335144","0.1120521"
"0.74","86.78436","0.1137604","0.74","25.84457","0.1137292","0.74","101.614","0.1137187","0.74","40.43579","0.1137292","0.74","48.63739","0.1137292","0.74","1.096725","0.11375","0.74","1.716614","0.1137604","0.74","1.335144","0.1137083"
"0.75","87.45193","0.1154271","0.75","24.98627","0.1153958","0.75","101.3756","0.1154167","0.75","41.62788","0.115375","0.75","51.68915","0.115375","0.75","1.144409","0.1154167","0.75","1.811981","0.1154063","0.75","1.382828","0.1154063"
"0.76","90.88516","0.1170729","0.76","26.79825","0.1170417","0.76","103.0922","0.1170833","0.76","44.01207","0.1170521","0.76","52.45209","0.1170312","0.76","1.144409","0.1170729","0.76","1.811981","0.1170521","0.76","1.430511","0.1170833"
"0.77","92.74483","0.1187188","0.77","27.99034","0.1186875","0.77","103.4737","0.1187396","0.77","45.63332","0.1187396","0.77","53.07198","0.1187292","0.77","1.144409","0.1187188","0.77","1.811981","0.1187083","0.77","1.430511","0.11875"
"0.78","94.22302","0.1203854","0.78","29.03938","0.120375","0.78","105.0472","0.1203854","0.78","43.53523","0.1204167","0.78","50.40169","0.1204271","0.78","1.28746","0.120375","0.78","1.811981","0.1203958","0.78","1.573563","0.1203958"
"0.79","95.31975","0.1220625","0.79","28.94402","0.1220729","0.79","107.336","0.1220417","0.79","45.82405","0.1220833","0.79","50.97389","0.1220938","0.79","1.28746","0.1220729","0.79","1.955032","0.1220729","0.79","1.573563","0.1220417"
"0.8","95.60585","0.12375","0.8","30.32684","0.12375","0.8","107.9559","0.1237187","0.8","47.30225","0.1237187","0.8","53.93028","0.12375","0.8","1.28746","0.1237604","0.8","1.955032","0.1237396","0.8","1.66893","0.1237083"
"0.81","97.94235","0.1254167","0.81","31.28052","0.1254167","0.81","111.0554","0.1254063","0.81","48.49434","0.125375","0.81","54.88396","0.1253958","0.81","1.382828","0.1254375","0.81","2.002716","0.1253958","0.81","1.66893","0.1254063"
"0.82","98.70529","0.1270729","0.82","30.756","0.1270521","0.82","111.0554","0.1270729","0.82","50.59242","0.1270521","0.82","54.97932","0.1270417","0.82","1.382828","0.1270937","0.82","2.0504","0.1270417","0.82","1.716614","0.1270937"
"0.83","98.94371","0.1287187","0.83","32.13882","0.1287083","0.83","111.0554","0.1287396","0.83","49.68643","0.12875","0.83","57.22046","0.1287292","0.83","1.430511","0.1287292","0.83","2.0504","0.1287083","0.83","1.811981","0.1287604"
"0.84","102.3293","0.130375","0.84","33.33092","0.130375","0.84","114.727","0.130375","0.84","50.54474","0.1304271","0.84","55.45616","0.1304167","0.84","1.525879","0.130375","0.84","2.145767","0.1303958","0.84","1.811981","0.1304167"
"0.85","103.5213","0.1320625","0.85","33.3786","0.1320625","0.85","116.0145","0.1320312","0.85","52.64282","0.1320937","0.85","56.64825","0.1320833","0.85","1.573563","0.1320417","0.85","2.145767","0.1320833","0.85","1.907349","0.1320521"
"0.86","105.1903","0.13375","0.86","33.28323","0.1337396","0.86","118.2079","0.1336979","0.86","54.07333","0.1337396","0.86","61.13052","0.13375","0.86","1.621246","0.1337396","0.86","2.241135","0.1337604","0.86","1.907349","0.1337083"
"0.87","107.4314","0.1354271","0.87","35.57205","0.1354063","0.87","120.3537","0.1353958","0.87","54.78859","0.1353854","0.87","59.84306","0.1353958","0.87","1.716614","0.1354167","0.87","2.288818","0.1354167","0.87","1.955032","0.1353958"
"0.88","107.1453","0.1370938","0.88","36.47804","0.1370521","0.88","121.9273","0.1370833","0.88","55.74226","0.1370417","0.88","59.98611","0.1370417","0.88","1.716614","0.1370833","0.88","2.336502","0.1370625","0.88","2.002716","0.1370833"
